用户ID,活动名,活动类型,参与日期,是否购买,消费金额(乐元)
48360063,圣诞竞拍夜,竞拍,2026-05-14,0,0
48360073,元旦集卡,打卡,2026-01-02,0,0
48360047,520告白季,折扣,2026-08-23,1,145
48360067,端午打卡,打卡,2026-08-17,1,166
48360011,圣诞竞拍夜,竞拍,2026-08-21,0,0
48360009,端午打卡,打卡,2026-01-11,0,0
48360001,618年中庆,折扣,2026-08-17,0,0
48360073,元旦集卡,打卡,2026-07-12,0,0
48360037,端午打卡,打卡,2026-03-02,0,0
48360076,端午打卡,打卡,2026-05-02,0,0
48360074,双11狂欢,折扣,2026-01-22,0,0
48360079,春节福袋,节日,2026-05-16,1,116
48360035,端午打卡,打卡,2026-03-20,1,162
48360001,520告白季,折扣,2026-03-19,0,0
48360057,元旦集卡,打卡,2026-03-09,0,0
48360030,618年中庆,折扣,2026-03-26,0,0
48360004,元旦集卡,打卡,2026-02-05,0,0
48360019,618年中庆,折扣,2026-07-25,0,0
48360056,双11狂欢,折扣,2026-04-19,0,0
48360044,春节福袋,节日,2026-05-25,0,0
48360006,双11狂欢,折扣,2026-08-13,0,0
48360060,圣诞竞拍夜,竞拍,2026-07-22,0,0
48360060,端午打卡,打卡,2026-03-17,0,0
48360001,端午打卡,打卡,2026-08-13,0,0
48360067,春节福袋,节日,2026-02-18,0,0
48360055,端午打卡,打卡,2026-06-09,1,63
48360074,暑期福利日,折扣,2026-08-25,0,0
48360030,圣诞竞拍夜,竞拍,2026-06-22,0,0
48360023,元旦集卡,打卡,2026-01-22,1,59
48360052,520告白季,折扣,2026-02-22,0,0
48360028,端午打卡,打卡,2026-05-07,1,131
48360007,圣诞竞拍夜,竞拍,2026-02-23,0,0
48360011,双11狂欢,折扣,2026-07-22,0,0
48360072,双11狂欢,折扣,2026-02-23,1,88
48360009,618年中庆,折扣,2026-05-25,0,0
48360041,端午打卡,打卡,2026-03-25,1,151
48360048,暑期福利日,折扣,2026-06-02,1,156
48360022,618年中庆,折扣,2026-02-16,0,0
48360025,暑期福利日,折扣,2026-03-21,0,0
48360018,暑期福利日,折扣,2026-04-20,0,0
48360056,端午打卡,打卡,2026-02-02,1,124
48360032,618年中庆,折扣,2026-01-16,1,133
48360004,暑期福利日,折扣,2026-05-05,0,0
48360050,春节福袋,节日,2026-08-16,0,0
48360008,圣诞竞拍夜,竞拍,2026-01-13,0,0
48360061,520告白季,折扣,2026-06-11,0,0
48360051,春节福袋,节日,2026-02-12,0,0
48360043,520告白季,折扣,2026-08-25,0,0
48360025,双11狂欢,折扣,2026-01-13,0,0
48360038,暑期福利日,折扣,2026-02-21,0,0
48360062,520告白季,折扣,2026-08-24,1,55
48360003,圣诞竞拍夜,竞拍,2026-08-13,1,120
48360039,618年中庆,折扣,2026-08-01,1,57
48360005,暑期福利日,折扣,2026-02-07,0,0
48360066,618年中庆,折扣,2026-03-24,0,0
48360009,春节福袋,节日,2026-03-16,0,0
48360060,春节福袋,节日,2026-04-23,0,0
48360001,双11狂欢,折扣,2026-01-10,0,0
48360012,618年中庆,折扣,2026-03-27,0,0
48360013,520告白季,折扣,2026-08-20,0,0
48360028,520告白季,折扣,2026-04-14,1,159
48360051,元旦集卡,打卡,2026-02-22,0,0
48360017,元旦集卡,打卡,2026-04-25,1,73
48360008,520告白季,折扣,2026-05-05,0,0
48360021,元旦集卡,打卡,2026-03-15,1,126
48360017,520告白季,折扣,2026-07-25,1,164
48360010,春节福袋,节日,2026-01-06,0,0
48360075,端午打卡,打卡,2026-07-23,0,0
48360060,双11狂欢,折扣,2026-04-05,0,0
48360066,618年中庆,折扣,2026-07-08,0,0
48360078,春节福袋,节日,2026-03-23,0,0
48360011,端午打卡,打卡,2026-06-14,1,81
48360015,520告白季,折扣,2026-06-28,0,0
48360069,圣诞竞拍夜,竞拍,2026-08-25,0,0
48360026,端午打卡,打卡,2026-01-07,1,69
48360060,618年中庆,折扣,2026-03-06,0,0
48360005,春节福袋,节日,2026-06-10,1,83
48360078,618年中庆,折扣,2026-01-04,0,0
48360068,双11狂欢,折扣,2026-03-26,1,117
48360009,圣诞竞拍夜,竞拍,2026-08-19,0,0
48360053,圣诞竞拍夜,竞拍,2026-06-08,0,0
48360041,圣诞竞拍夜,竞拍,2026-02-08,0,0
48360025,暑期福利日,折扣,2026-04-03,0,0
48360062,春节福袋,节日,2026-07-05,1,129
48360022,暑期福利日,折扣,2026-06-05,0,0
48360024,元旦集卡,打卡,2026-05-07,1,54
48360072,春节福袋,节日,2026-05-05,1,111
48360053,双11狂欢,折扣,2026-06-08,0,0
48360077,双11狂欢,折扣,2026-03-19,0,0
48360029,520告白季,折扣,2026-07-28,0,0
48360027,618年中庆,折扣,2026-08-09,1,106
48360031,圣诞竞拍夜,竞拍,2026-06-14,0,0
48360075,双11狂欢,折扣,2026-01-14,0,0
48360005,618年中庆,折扣,2026-01-14,0,0
48360061,520告白季,折扣,2026-08-16,1,123
48360001,暑期福利日,折扣,2026-04-05,0,0
48360030,520告白季,折扣,2026-01-16,0,0
48360020,618年中庆,折扣,2026-01-15,0,0
48360017,暑期福利日,折扣,2026-03-26,0,0
48360059,春节福袋,节日,2026-02-13,0,0
48360042,春节福袋,节日,2026-05-14,0,0
48360078,圣诞竞拍夜,竞拍,2026-02-20,0,0
48360007,元旦集卡,打卡,2026-01-04,0,0
48360059,春节福袋,节日,2026-06-12,1,123
48360008,圣诞竞拍夜,竞拍,2026-03-11,1,65
48360061,圣诞竞拍夜,竞拍,2026-04-11,0,0
48360034,暑期福利日,折扣,2026-05-02,1,95
48360062,520告白季,折扣,2026-08-23,0,0
48360068,端午打卡,打卡,2026-08-20,0,0
48360008,圣诞竞拍夜,竞拍,2026-08-03,1,167
48360036,520告白季,折扣,2026-02-06,1,141
48360063,双11狂欢,折扣,2026-04-17,0,0
48360002,端午打卡,打卡,2026-07-22,0,0
48360016,618年中庆,折扣,2026-06-14,0,0
48360002,端午打卡,打卡,2026-04-03,1,154
48360066,元旦集卡,打卡,2026-07-19,1,134
48360041,618年中庆,折扣,2026-08-15,1,67
48360039,双11狂欢,折扣,2026-05-08,0,0
48360036,春节福袋,节日,2026-03-12,1,174
48360079,双11狂欢,折扣,2026-05-06,0,0
48360019,双11狂欢,折扣,2026-04-04,1,91
48360016,618年中庆,折扣,2026-05-12,1,123
48360004,元旦集卡,打卡,2026-06-05,0,0
48360069,双11狂欢,折扣,2026-05-04,0,0
48360051,618年中庆,折扣,2026-03-15,0,0
48360019,春节福袋,节日,2026-06-21,0,0
48360060,端午打卡,打卡,2026-03-26,0,0
48360056,元旦集卡,打卡,2026-02-24,0,0
48360005,双11狂欢,折扣,2026-02-10,1,130
48360028,618年中庆,折扣,2026-06-03,1,129
48360024,圣诞竞拍夜,竞拍,2026-05-07,1,120
48360057,520告白季,折扣,2026-07-07,0,0
48360077,春节福袋,节日,2026-06-13,1,161
48360047,暑期福利日,折扣,2026-06-01,1,96
48360057,520告白季,折扣,2026-04-24,0,0
48360053,618年中庆,折扣,2026-05-06,0,0
48360054,暑期福利日,折扣,2026-03-27,0,0
48360011,双11狂欢,折扣,2026-04-10,0,0
48360067,元旦集卡,打卡,2026-02-19,0,0
48360011,春节福袋,节日,2026-07-21,0,0
48360053,双11狂欢,折扣,2026-08-23,0,0
48360017,圣诞竞拍夜,竞拍,2026-03-27,0,0
48360070,618年中庆,折扣,2026-01-27,0,0
48360074,端午打卡,打卡,2026-08-18,0,0
48360028,春节福袋,节日,2026-01-05,1,174
48360060,520告白季,折扣,2026-05-14,1,168
48360031,春节福袋,节日,2026-02-25,1,179
48360008,元旦集卡,打卡,2026-08-19,0,0
48360033,618年中庆,折扣,2026-02-12,0,0
48360073,春节福袋,节日,2026-05-06,0,0
48360018,元旦集卡,打卡,2026-08-23,1,71
48360034,元旦集卡,打卡,2026-07-21,0,0
48360045,春节福袋,节日,2026-05-10,0,0
48360009,圣诞竞拍夜,竞拍,2026-03-25,1,148
48360069,元旦集卡,打卡,2026-06-27,0,0
48360038,端午打卡,打卡,2026-06-04,0,0
48360045,双11狂欢,折扣,2026-01-05,0,0
48360047,618年中庆,折扣,2026-07-11,0,0
48360020,520告白季,折扣,2026-04-05,0,0
48360024,520告白季,折扣,2026-07-15,0,0
48360014,双11狂欢,折扣,2026-01-16,1,140
48360017,618年中庆,折扣,2026-06-06,0,0
48360003,520告白季,折扣,2026-04-05,0,0
48360018,圣诞竞拍夜,竞拍,2026-05-05,1,178
48360054,520告白季,折扣,2026-02-01,0,0
48360055,春节福袋,节日,2026-04-04,1,136
48360075,春节福袋,节日,2026-08-04,0,0
48360005,520告白季,折扣,2026-05-22,1,63
48360015,圣诞竞拍夜,竞拍,2026-04-06,0,0
48360003,520告白季,折扣,2026-03-28,0,0
48360035,元旦集卡,打卡,2026-06-06,0,0
48360078,圣诞竞拍夜,竞拍,2026-02-04,0,0
48360001,圣诞竞拍夜,竞拍,2026-04-10,1,148
48360000,520告白季,折扣,2026-04-17,0,0
48360060,元旦集卡,打卡,2026-03-15,0,0
48360013,双11狂欢,折扣,2026-06-13,0,0
48360065,圣诞竞拍夜,竞拍,2026-07-04,0,0
