号码,位数,规律类型,价格(乐元),上架状态,上架日期
8725639,7,普通,123,在售,2026-05-21
88822,5,AABB,59,下架,2026-04-11
750373,6,普通,24,在售,2026-04-07
567700,6,普通,284,已售,2026-05-09
4989266,7,普通,82,已售,2026-06-25
3869900,7,AABB,111,在售,2026-08-22
43222,5,普通,85,在售,2026-02-09
519922,6,AABB,133,在售,2026-03-06
228092,6,普通,20,在售,2026-05-04
90413797,8,普通,235,已售,2026-01-20
298425,6,普通,371,在售,2026-02-07
10381122,8,AABB,80,在售,2026-06-18
29888,5,888,130,在售,2026-06-09
76592345,8,顺子,61,已售,2026-03-23
8643009,7,普通,142,在售,2026-05-19
565126,6,普通,120,已售,2026-04-06
94636887,8,普通,77,在售,2026-02-10
6213721,7,普通,70,在售,2026-06-18
01888,5,888,53,在售,2026-08-02
66984,5,普通,148,下架,2026-03-01
703843,6,普通,33,在售,2026-08-22
053021,6,普通,430,在售,2026-01-04
38019955,8,AABB,90,在售,2026-07-02
690426,6,普通,145,在售,2026-02-14
8489476,7,普通,162,已售,2026-07-06
90714163,8,普通,118,在售,2026-08-20
0434165,7,普通,46,在售,2026-06-10
9425678,7,顺子,63,在售,2026-06-27
521117,6,普通,161,在售,2026-04-23
59579,5,普通,338,下架,2026-02-25
9200088,7,AABB,92,已售,2026-08-19
87500369,8,普通,24,已售,2026-03-03
347955,6,普通,71,在售,2026-08-04
6473311,7,AABB,164,在售,2026-08-10
27026888,8,888,125,在售,2026-08-16
9061203,7,普通,138,已售,2026-04-08
45588450,8,普通,67,已售,2026-03-28
824558,6,普通,86,已售,2026-05-12
72256996,8,普通,106,在售,2026-07-06
445555,6,豹子,142,在售,2026-06-26
023888,6,888,55,在售,2026-06-15
06811492,8,普通,46,在售,2026-08-01
470123,6,顺子,24,下架,2026-02-16
84872829,8,普通,150,已售,2026-02-12
84578317,8,普通,70,在售,2026-08-15
25888,5,888,46,下架,2026-03-10
64936666,8,豹子,320,在售,2026-06-20
34163894,8,普通,86,已售,2026-03-17
12241888,8,888,81,在售,2026-02-13
80888,5,888,85,已售,2026-02-11
073888,6,888,140,在售,2026-02-26
28877,5,AABB,94,在售,2026-05-18
13673037,8,普通,108,已售,2026-08-13
452088,6,普通,29,在售,2026-07-08
3136502,7,普通,147,在售,2026-04-18
097888,6,888,120,在售,2026-03-16
0052812,7,普通,66,在售,2026-07-03
7306524,7,普通,336,在售,2026-06-07
7392855,7,普通,122,已售,2026-07-26
274888,6,888,88,在售,2026-07-19
959351,6,普通,143,在售,2026-06-18
29456511,8,普通,105,已售,2026-04-06
031888,6,888,35,在售,2026-02-24
94053910,8,普通,248,在售,2026-08-04
05865,5,普通,105,已售,2026-08-11
41381,5,普通,19,在售,2026-02-27
392886,6,普通,161,在售,2026-08-06
61228685,8,普通,143,在售,2026-05-13
8556659,7,普通,77,在售,2026-02-20
7760088,7,AABB,45,在售,2026-02-22
504567,6,顺子,230,在售,2026-07-11
4593888,7,888,26,下架,2026-08-21
72791,5,普通,124,已售,2026-01-03
05566888,8,888,383,已售,2026-04-27
05555,5,豹子,118,在售,2026-03-19
99813646,8,普通,23,在售,2026-01-25
41686,5,普通,110,在售,2026-03-22
938983,6,普通,63,在售,2026-03-15
66888,5,888,79,在售,2026-05-13
5979888,7,888,255,已售,2026-08-07
110392,6,普通,443,在售,2026-04-22
73333,5,豹子,76,在售,2026-06-10
20698042,8,普通,18,已售,2026-05-14
0164888,7,888,93,在售,2026-06-03
15798123,8,普通,137,下架,2026-01-20
84888,5,888,101,已售,2026-07-28
3840460,7,普通,484,在售,2026-03-28
2168936,7,普通,57,下架,2026-05-02
2324488,7,AABB,318,下架,2026-06-18
925188,6,普通,219,在售,2026-01-01
566474,6,普通,59,在售,2026-06-04
99499,5,普通,148,在售,2026-05-28
75522,5,AABB,338,在售,2026-01-08
606789,6,顺子,59,下架,2026-07-23
75736609,8,普通,130,在售,2026-07-21
77038,5,普通,179,在售,2026-06-23
03476447,8,普通,64,下架,2026-07-13
718129,6,普通,403,在售,2026-07-14
02795555,8,豹子,173,已售,2026-04-22
75888,5,888,178,已售,2026-03-16
602222,6,AABB,85,在售,2026-03-07
7421230,7,普通,120,在售,2026-07-27
09733977,8,普通,54,已售,2026-06-27
498302,6,普通,35,在售,2026-07-05
94510,5,普通,49,在售,2026-05-28
9982795,7,普通,211,在售,2026-03-05
1681472,7,普通,44,在售,2026-01-03
39019817,8,普通,148,已售,2026-01-05
5489999,7,AABB,86,在售,2026-08-22
343010,6,普通,89,已售,2026-07-05
660558,6,普通,117,已售,2026-02-05
1440123,7,顺子,127,已售,2026-07-28
35577,5,普通,152,在售,2026-08-26
85760849,8,普通,125,在售,2026-07-20
551240,6,普通,68,在售,2026-03-15
629145,6,普通,122,在售,2026-07-18
435500,6,AABB,173,在售,2026-08-13
82357,5,普通,142,已售,2026-06-08
182307,6,普通,92,在售,2026-03-14
9157018,7,普通,160,在售,2026-01-19
